Cruise,Cruise_ID_2,Month_local,Year_local,class,d_1m,d_7m,d_15m,d_25m,d_35m,d_55m,d_75m,d_100m,Total_sum
48,CAR-048,11,1999,Bacillariophyceae,0,0,0,0,0,0,0,0,0
48,CAR-048,11,1999,Coccolithophyceae,13.280000000000001,54.089999999999996,18.843,19.181,127.998,2.176,3.006,0,235.665
48,CAR-048,11,1999,Dinophyceae,0.12,0.36,2.167,0.167,0.128,0,0,0,2.974
49,CAR-049,12,1999,Bacillariophyceae,0,1.01,0,0,0,0,0,0.334,1.024
49,CAR-049,12,1999,Coccolithophyceae,38.18,16.479999999999997,12.023,23.898,14.059,16.187,5.492,5,120.85499999999999
49,CAR-049,12,1999,Dinophyceae,0.5,0.12,1.7890000000000001,0.256,0.64,0,0.256,3.502,3.314
50,CAR-050,1,2000,Bacillariophyceae,6.119999999999999,13.17,2.085,0.522,7.031000000000001,0,0,0,28.986
50,CAR-050,1,2000,Coccolithophyceae,41.33,56.8,75.03,24.192,42.439,1.408,0,0,241.399
50,CAR-050,1,2000,Dinophyceae,0.37,0.54,0,2.264,0.128,0,0,0,3.324
51,CAR-051,2,2000,Bacillariophyceae,16.129999999999995,3.08,20.009999999999998,0,3.959,0.501,0,0,43.749
51,CAR-051,2,2000,Coccolithophyceae,30.150000000000002,28.369999999999997,6.886,0,0.896,4.509,0.256,0,70.96000000000001
51,CAR-051,2,2000,Dinophyceae,0.54,0,0,0,0,0.167,0,0,0.7150000000000001
52,CAR-052,3,2000,Bacillariophyceae,6.52,0,7.662,0.348,0.128,0.835,0,0.167,15.493
52,CAR-052,3,2000,Coccolithophyceae,82.8,25.5,26.05,17.394,3.2,8.503,0.768,0.8350000000000001,163.531
52,CAR-052,3,2000,Dinophyceae,0,0.46,0,0,0,0,0,0,0.478
53,CAR-053,4,2000,Bacillariophyceae,1269.86,6.369999999999999,31.75,14.83,0.384,0.167,0,0,12728.417999999998
53,CAR-053,4,2000,Coccolithophyceae,6.51,19.76,25,7.162,7.7989999999999995,2.672,0,0,68.952
53,CAR-053,4,2000,Dinophyceae,2.1,6.789999999999999,1.25,1.408,0,0,0,0,11.571999999999997
54,CAR-054,5,2000,Bacillariophyceae,4.96,1.05,2.048,3.674,5,9.58,1536.2,0.334,26.358999999999998
54,CAR-054,5,2000,Coccolithophyceae,17.95,18.89,16.99,27.845,38.011,0.384,4.986,0,120.14699999999999
54,CAR-054,5,2000,Dinophyceae,0,1.03,0.128,0,0,0.128,0,0,1.33
55,CAR-055,6,2000,Bacillariophyceae,0.51,0,0,0,0,0,0,0,0.512
55,CAR-055,6,2000,Coccolithophyceae,11.5,3.84,28.68,2.171,0.128,2.3379999999999996,1.792,0,48.678
55,CAR-055,6,2000,Dinophyceae,1.52,0,0,0.334,1.661,0,0,0,3.5309999999999997
56,CAR-056,7,2000,Bacillariophyceae,67.97,202.75,279,0,30.671999999999997,0,0.167,6991.516,580.836
